+-----------+-----------------------------------------------------------------------------------------------------+---------------------------+--------------+----------------+
|     ID    |                                                 Name                                                |           Domain          | Seller type  | Direct domain? |
| 540762995 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762996 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762997 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762998 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762999 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763000 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763001 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763002 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763003 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763004 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763005 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763006 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763007 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763008 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763009 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763010 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763011 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763012 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763013 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763014 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763015 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763016 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763017 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763018 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763019 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763020 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763021 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763022 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763023 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763024 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763025 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763026 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763027 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540763028 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540767223 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540767476 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540784055 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540791895 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540792608 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540795728 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540827438 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540834098 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 539318286 |                                      Endgame360, Inc. (via EB)                                      |         google.com        | INTERMEDIARY |    indirect    |
| 539771037 |                                      CinemaToday, Inc. (via EB)                                     |         google.com        | INTERMEDIARY |    indirect    |
| 537120516 |                                        COED Media Group, LLC                                        |      coedmagazine.com     |     BOTH     |     direct     |
| 537143757 |                                        COED Media Group, LLC                                        |      coedmagazine.com     |     BOTH     |     direct     |
| 539970470 |                                        COED Media Group, LLC                                        |      coedmagazine.com     |     BOTH     |     direct     |
| 540269102 |                                        COED Media Group, LLC                                        |      coedmagazine.com     |     BOTH     |     direct     |
| 541152525 |                                        COED Media Group, LLC                                        |      coedmagazine.com     |     BOTH     |     direct     |
| 541180692 |                                        COED Media Group, LLC                                        |      coedmagazine.com     |     BOTH     |     direct     |
| 537097969 |                                             Fandoom LLC                                             |     communityhired.com    |     BOTH     |     direct     |
| 540233902 |                                  Creative Link Corporation (via EB)                                 |         google.com        | INTERMEDIARY |    indirect    |
| 539353767 |                                       DeNA Co., Ltd. (via EB)                                       |         google.com        | INTERMEDIARY |    indirect    |
| 537133236 |                                             Disqus, Inc.                                            |         disqus.com        | INTERMEDIARY |     direct     |
| 540472249 |                                             Disqus, Inc.                                            |         disqus.com        | INTERMEDIARY |     direct     |
| 540717801 |                                        Disqus, Inc. (via EB)                                        |         google.com        | INTERMEDIARY |    indirect    |
| 537139075 |                                          DistroScale, Inc.                                          |      distroscale.com      | INTERMEDIARY |     direct     |
| 540884769 |                                          DistroScale, Inc.                                          |      distroscale.com      | INTERMEDIARY |     direct     |
| 540911068 |                                      DistroScale, Inc. (via EB)                                     |         google.com        | INTERMEDIARY |    indirect    |
| 541159588 |                                          DistroScale, Inc.                                          |      distroscale.com      | INTERMEDIARY |     direct     |
| 552074241 |                                          DistroScale, Inc.                                          |      distroscale.com      | INTERMEDIARY |     direct     |
| 557325314 |                                          DistroScale, Inc.                                          |      distroscale.com      | INTERMEDIARY |     direct     |
| 540635189 |                                      Dwango Co., Ltd. (via EB)                                      |         google.com        | INTERMEDIARY |    indirect    |
| 556717117 |                                      Dwango Co., Ltd. (via EB)                                      |         google.com        | INTERMEDIARY |    indirect    |
| 539234093 |                                  The E.W. Scripps Company (via EB)                                  |         google.com        | INTERMEDIARY |    indirect    |
| 540085414 |                                      eBay (UK) Limited (via EB)                                     |         google.com        | INTERMEDIARY |    indirect    |
| 540142887 |                                             Egami.tv LLC                                            |          egami.tv         | INTERMEDIARY |     direct     |
| 540316086 |                                             Egami.tv LLC                                            |          egami.tv         | INTERMEDIARY |     direct     |
| 540454045 |                                             Egami.tv LLC                                            |          egami.tv         | INTERMEDIARY |     direct     |
| 539052985 |                                        Enthusiast Gaming Inc.                                       |    enthusiastgaming.com   |     BOTH     |     direct     |
| 540306963 |                                        Enthusiast Gaming Inc.                                       |    enthusiastgaming.com   |     BOTH     |     direct     |
| 540623703 |                                        Enthusiast Gaming Inc.                                       |    enthusiastgaming.com   |     BOTH     |     direct     |
| 540717808 |                                   Enthusiast Gaming Inc. (via EB)                                   |         google.com        | INTERMEDIARY |    indirect    |
| 544302627 |                                        Enthusiast Gaming Inc.                                       |    enthusiastgaming.com   |     BOTH     |     direct     |
| 539294051 |                                             FourM, Inc.                                             |          fourm.jp         | INTERMEDIARY |     direct     |
| 539351445 |                                             FourM, Inc.                                             |          fourm.jp         | INTERMEDIARY |     direct     |
| 540137510 |                                         FourM, Inc. (via EB)                                        |         google.com        | INTERMEDIARY |    indirect    |
| 544016697 |                                         FourM, Inc. (via EB)                                        |         google.com        | INTERMEDIARY |    indirect    |
| 537138408 |                                        Publisher First, Inc.                                        |        freestar.com       | INTERMEDIARY |     direct     |
| 537152342 |                                        Publisher First, Inc.                                        |        freestar.com       | INTERMEDIARY |     direct     |
| 539181723 |                                        Publisher First, Inc.                                        |        freestar.com       | INTERMEDIARY |     direct     |
